Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,District
32.0,3.2,4.5,5.0,3.0,4.0,Have certificate,Full,5.5,Hoàng Mai
44.0,3.8,2.7,4.0,4.0,3.0,Have certificate,Full,7.4,Hoàng Mai
40.0,0.0,2.0,5.0,3.0,4.0,Have certificate,Full,7.5,Hoàng Mai
50.0,4.0,4.0,4.0,4.0,3.0,Have certificate,None,7.9,Hoàng Mai
35.0,7.0,2.0,5.0,4.0,4.0,Have certificate,Basic,4.55,Long Biên
42.0,0.0,0.0,4.0,4.0,4.0,Have certificate,None,5.45,Hoài Đức
36.0,4.0,3.0,6.0,3.0,5.0,Have certificate,Full,7.4,Ba Đình
44.5,0.0,0.0,3.0,3.0,3.0,Have certificate,Basic,2.45,Quốc Oai
34.0,3.3,0.0,5.0,4.0,5.0,Have certificate,Full,4.9,Đống Đa
38.0,5.6,0.0,5.0,3.0,4.0,Have certificate,Full,5.6,Bắc Từ Liêm
32.0,3.0,0.0,4.0,4.0,3.0,Have certificate,Full,6.3,Hà Đông
25.6,0.0,2.0,4.0,2.0,3.0,Have certificate,None,5.35,Đống Đa
60.0,5.0,3.0,4.0,5.0,4.0,Have certificate,Full,9.75,Ba Đình
26.0,3.0,3.0,4.0,3.0,4.0,Have certificate,Full,4.6,Hai Bà Trưng
53.0,4.4,0.0,3.0,3.0,3.0,Have certificate,Basic,9.35,Long Biên
34.0,0.0,0.0,5.0,4.0,4.0,Have certificate,Full,6.15,Hai Bà Trưng
45.0,0.0,0.0,5.0,4.0,4.0,Have certificate,None,5.45,Bắc Từ Liêm
35.0,4.0,3.0,5.0,3.0,4.0,Have certificate,Full,5.5,Nam Từ Liêm
41.0,4.0,6.0,5.0,3.0,4.0,Have certificate,Basic,10.0,Ba Đình
50.0,4.0,4.0,4.0,5.0,5.0,Have certificate,Full,8.7,Đống Đa
36.0,4.0,3.0,5.0,3.0,5.0,Have certificate,Full,7.4,Ba Đình
31.4,3.1,5.0,3.0,3.0,2.0,Have certificate,None,2.1,Chương Mỹ
38.0,4.0,3.0,6.0,3.0,5.0,Have certificate,Full,8.08,Ba Đình
42.0,5.0,3.0,5.0,3.0,4.0,Have certificate,Full,7.5,Ba Đình
49.0,4.5,0.0,6.0,4.0,4.0,None,None,8.15,Long Biên
36.0,4.0,4.0,5.0,3.0,3.0,Have certificate,Full,3.8,Hoài Đức
28.0,3.0,0.0,4.0,5.0,4.0,Have certificate,Full,5.25,Tây Hồ
35.0,0.0,0.0,4.0,4.0,3.0,Have certificate,None,5.0,Hoàng Mai
61.0,4.0,3.0,4.0,4.0,4.0,Have certificate,Basic,7.6,Bắc Từ Liêm
40.0,0.0,0.0,5.0,4.0,4.0,Have certificate,None,7.9,Đống Đa
58.0,4.0,4.0,4.0,3.0,4.0,Have certificate,Basic,6.8,Long Biên
41.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,5.78,Long Biên
36.0,4.0,3.0,4.0,3.0,4.0,Have certificate,Full,4.8,Hoàng Mai
58.0,0.0,0.0,5.0,4.0,5.0,Have certificate,None,8.2,Long Biên
34.0,4.0,5.0,5.0,3.0,4.0,Have certificate,Full,6.0,Hoàng Mai
43.0,4.68,3.0,6.0,3.0,4.0,Have certificate,Basic,7.94,Bắc Từ Liêm
32.0,3.6,0.0,5.0,4.0,4.0,Have certificate,Full,6.6,Hà Đông
30.0,0.0,0.0,6.0,3.0,4.0,Have certificate,Full,6.0,Nam Từ Liêm
40.0,5.5,0.0,6.0,5.0,4.0,Have certificate,Full,8.85,Hà Đông
42.0,6.0,3.0,4.0,4.0,3.0,Have certificate,Full,5.4,Bắc Từ Liêm
45.0,0.0,0.0,5.0,3.0,4.0,Have certificate,None,6.45,Bắc Từ Liêm
35.0,0.0,0.0,5.0,3.0,3.0,Have certificate,Basic,4.5,Hoàng Mai
